tanggal,pasrujambe,pronojiwo,pasirian,jokarto
5/7/2023,0,2.8,0,0
5/8/2023,0,0,0,0
5/9/2023,0,0,0,0.2
5/10/2023,0.2,9.8,0.2,0.4
5/11/2023,0,0,0,0
5/12/2023,0.2,6.4,0,0
5/13/2023,0,3.2,0,0
5/14/2023,0,0,0,0
5/15/2023,0,6.2,0,0
5/16/2023,0.4,1,0,0.2
5/17/2023,0.4,2.2,0,0
5/18/2023,0.2,0.2,0,0
5/19/2023,0,0,0,0
5/21/2023,0,0.6,0,0
5/22/2023,0,0,0,0
5/23/2023,0,0.2,0,0.4
5/24/2023,0,0,0,0
5/25/2023,0,0,0,0
5/26/2023,0,0,0,0
5/27/2023,0,0,0,0
5/28/2023,0,0,0,0
5/29/2023,0,0,0,0
5/30/2023,0,0,0,0
5/31/2023,0,0,0,0
6/1/2023,0,0,0,0
6/2/2023,8.8,122.2,0,23.4
6/3/2023,0,19.2,1.8,0.2
6/4/2023,0,0.8,0,0.2
6/5/2023,0.2,13.2,3,0.6
6/6/2023,2.2,10.6,0,0.4
6/7/2023,35.4,296.2,3.8,8
6/8/2023,28.2,165,0,6.2
6/9/2023,0,9.4,0,0
6/10/2023,0.2,1.6,0,0
6/11/2023,1.8,52.6,1.2,6.4
6/12/2023,13.8,55.4,0,3.2
6/13/2023,0,0,0,0
6/14/2023,0.2,1.6,0,0
6/15/2023,0,0.8,0,0
6/16/2023,0,0,0,0
6/17/2023,0,0,0,0
6/18/2023,0,0,0,0
6/19/2023,0,0,0,0
6/20/2023,0,0,0,0
6/21/2023,0,0,0,0
6/22/2023,0,0,0,0
6/23/2023,0,0,0,0
6/24/2023,0,0,0,0
6/25/2023,0,0,0,0
6/26/2023,,,0,0
6/27/2023,0,0,0,0
6/28/2023,0,0.2,0,0.2
6/29/2023,,3.8,0,0
6/30/2023,0,0.4,0,0
7/1/2023,0.6,30.2,0,7
7/2/2023,18.6,68.8,11.8,25.4
7/3/2023,6.8,34.2,7.6,12.4
7/4/2023,0,0,0.2,12.8
7/5/2023,3,68.4,14.4,47.2
7/6/2023,2.2,84.6,0.4,5.8
7/7/2023,8.6,258.6,0,13.2
7/8/2023,18.4,296.4,27.4,27.4
7/9/2023,3.6,,2,4.6
7/10/2023,0,0,3,2
7/12/2023,0,0,0,0
7/13/2023,4.8,3.4,0,0.6
7/14/2023,24.4,64,2.8,11.8
7/15/2023,16.8,4.8,0,1
7/16/2023,3,0,0,0
7/17/2023,0,0,,0
7/18/2023,,,,
7/19/2023,,,,
7/20/2023,,0,0,0
7/22/2023,,,,
7/23/2023,,,,
7/24/2023,0,0,0,0
7/25/2023,0,0,0,0
7/27/2023,,,,
7/28/2023,,,,
7/29/2023,,,,
7/30/2023,,,,
7/31/2023,,,,
