Stamar Tanjung Priok;;;;;;;;;
;;;;;;;;;
;Temperature Max C (Daily);Temperature Mean C (Daily);Temperature Min C (Daily);Evaporation Total mm (Daily);Dew Point Mean C (Daily);Relative Humidity Mean % (Daily);Wind Speed Mean ms (Daily);Wind Speed Max ms (Daily);Sunshine Hours (Daily)
01/01/2022 00:00;32.4;29.3;26.7;8;24;73.1;2.9;5.7;5.2
02/01/2022 00:00;32.2;28.6;26;.6;23.8;75.4;2.4;4.6;4.7
03/01/2022 00:00;33;29.6;26.4;4.7;23.4;69.5;2.1;4.6;4.4
04/01/2022 00:00;32.6;29.7;27.2;4.7;23.8;71;1.7;3.6;7.7
05/01/2022 00:00;32.7;29.3;26.6;7;24.3;74.5;1.5;4.1;7.1
06/01/2022 00:00;31.8;28.1;26.2;8.6;24.6;81.5;1.6;4.1;9.1
07/01/2022 00:00;34.8;29.2;26.2;.1;23.8;72.4;2.1;6.2;4
08/01/2022 00:00;32.4;29.7;27.3;10.3;24.4;73.1;2.6;4.1;9.3
09/01/2022 00:00;31.6;29.5;27.2;1.9;24.4;74.3;2.4;5.1;7.3
10/01/2022 00:00;30.8;27.7;25;4.4;24.6;83.6;2.8;6.7;5.4
11/01/2022 00:00;31.4;27.2;24.8;2.4;24.6;86;2.7;5.1;2.8
12/01/2022 00:00;31.1;27.3;25.1;.2;24.4;84.1;2.6;8.2;3.9
13/01/2022 00:00;30.2;27.5;24.2;8.2;24.2;81.9;1.8;4.6;5.9
14/01/2022 00:00;29.2;27.1;24.8;1.2;24.5;85.8;2.2;6.2;0
15/01/2022 00:00;29.2;27.9;25;3;25;84;1.5;4.6;1
16/01/2022 00:00;28.8;27.6;25.1;0;25;86.2;1.6;5.1;.9
17/01/2022 00:00;31.2;28.1;25.6;2.2;25.1;83.8;3.5;7.7;0
18/01/2022 00:00;28.6;26.5;24.8;3.2;24.6;89.3;2.8;9.8;4.1
19/01/2022 00:00;30.6;27.6;24.8;1.7;24.4;82.4;3.4;6.2;0
20/01/2022 00:00;29.4;26.3;24.9;5.2;23.7;85.3;2.4;6.7;6.8
21/01/2022 00:00;31.2;28.3;25.1;.5;24.2;78.5;2.3;5.1;.2
22/01/2022 00:00;30.8;28.1;24.8;6.4;24.1;79;2.4;4.6;8.5
23/01/2022 00:00;32.4;29.7;26.8;6.2;24.3;72.9;2.7;5.7;6
