Stamar Tanjung Priok;;;;;;;;;
;;;;;;;;;
;Temperature Max C (Daily);Temperature Mean C (Daily);Temperature Min C (Daily);Evaporation Total mm (Daily);Dew Point Mean C (Daily);Relative Humidity Mean % (Daily);Wind Speed Mean ms (Daily);Wind Speed Max ms (Daily);Sunshine Hours (Daily)
21/05/2023 00:00;32.8;29.6;27.2;4.5;25.6;79.2;1.8;4.6;4.8
22/05/2023 00:00;32.4;29.8;27.4;3.6;25.4;76.9;1.1;4.6;7.4
23/05/2023 00:00;32.4;29.7;27.6;.4;24.6;74.2;1.9;4.1;7.2
24/05/2023 00:00;32.4;29.8;26.8;11.1;25.2;76.5;2.2;5.7;4.5
25/05/2023 00:00;32.6;30.1;27.8;2.3;25.1;74.9;1.6;3.6;6
26/05/2023 00:00;34.4;30.4;27.8;3;25.1;73.4;3;5.7;6.9
27/05/2023 00:00;32.5;29.3;25.9;8;25.1;78.5;2.3;4.6;7.8
28/05/2023 00:00;31.7;29.6;26.3;6.6;25.3;77.7;.9;4.1;6.9
29/05/2023 00:00;31.8;29.9;28.2;6.8;25.6;78.1;1.5;4.1;5.5
30/05/2023 00:00;32.4;29.8;27.4;3;25.3;76.7;1.5;5.7;5.2
31/05/2023 00:00;32.6;30;27.4;6;24.7;73.3;1.6;3.6;4.2
01/06/2023 00:00;32.2;29.9;27.4;2.1;24.9;75;1.9;5.1;8.4
02/06/2023 00:00;34.2;30.3;27.8;2.5;25;73.5;2.6;5.7;6.7
03/06/2023 00:00;33;30.1;27.9;1.6;25.4;75.8;1.9;4.1;8.4
04/06/2023 00:00;32.1;29.8;27.8;5;25.4;77;1.8;5.1;7.2
05/06/2023 00:00;32.1;29.5;27.2;2.6;25.3;78.3;2.4;5.1;7.3
06/06/2023 00:00;31;28.4;26.6;6.7;24.9;81.1;1.1;3.6;7.7
07/06/2023 00:00;34.3;30.5;27.7;2.7;25.2;73.6;2.9;5.7;.7
08/06/2023 00:00;33.2;29.8;26.8;6.3;24.9;74.8;3.1;6.7;7.9
09/06/2023 00:00;33.2;30.2;27.2;3.1;25.6;76.6;2.3;4.6;6.9
10/06/2023 00:00;32.2;29.6;26.8;9.6;25.4;78.2;2;5.1;9
11/06/2023 00:00;32.8;29.9;27;5.2;24.7;73.6;2.1;4.6;8.2
12/06/2023 00:00;33.4;30.1;27.4;5.9;25.1;74.4;2.9;6.2;9
13/06/2023 00:00;33.8;30.5;27.9;5.7;25.9;76.6;2.1;4.1;7.1
14/06/2023 00:00;32.9;30;27.7;3.8;25.6;77.3;1.7;4.6;7.7
15/06/2023 00:00;32.7;29.7;26.4;4.2;25.3;77.1;2.3;6.2;7.7
16/06/2023 00:00;27.3;26.2;25.6;4.8;24.6;90.9;1.4;4.6;4.6
17/06/2023 00:00;31.1;28.5;25.7;2.8;24.9;81;1.3;4.1;0
18/06/2023 00:00;31.4;29.2;27;1.3;25.7;81.8;1.6;4.6;2.1
19/06/2023 00:00;30.9;27.3;25.4;3.6;25.2;88;.7;3.1;4.8
20/06/2023 00:00;32.7;29.6;26.2;5.3;25.3;77.7;2.9;4.6;2.9
21/06/2023 00:00;32.1;29.9;27.4;2.9;25.6;77.8;2.3;5.1;7.1
22/06/2023 00:00;33.4;29.8;27.3;4.2;25.5;77.8;1.7;4.6;7.3
23/06/2023 00:00;33.4;29.8;26.6;4.6;25.5;78.2;1.9;5.7;6.7
24/06/2023 00:00;31.8;29.2;26.6;4.3;25.9;82.2;.9;3.6;7.2
25/06/2023 00:00;31.6;28.4;26.4;2.6;25.1;82.6;1.6;4.6;7.7
26/06/2023 00:00;31.3;29;26.6;4.9;25.5;81.2;1.2;3.1;6.2
27/06/2023 00:00;32.1;28.9;26.4;5.4;24.5;77.5;1.7;5.1;8.6
28/06/2023 00:00;32.4;29.1;25.8;6.2;24.5;76.2;1.8;5.1;7.9
29/06/2023 00:00;32.4;29.3;26.6;10.3;25.1;78.1;.9;3.1;8.9
30/06/2023 00:00;32;29.8;27.2;4.7;25.2;76.7;1.9;7;8.2
01/07/2023 00:00;32.2;29.8;27.8;3.1;25.7;78.8;.8;3.6;7.3
02/07/2023 00:00;31.8;29.2;27.4;6;25.5;80.3;1.2;5.1;5.2
03/07/2023 00:00;31.9;29.5;27;5.1;25;76.7;1;4.6;1.7
04/07/2023 00:00;32.6;29.7;26.9;1.4;24.8;75.1;2.6;5.7;5.1
05/07/2023 00:00;33.2;30.1;27.2;4.6;25;74;1.3;5.7;8.6
06/07/2023 00:00;29.2;27.8;26.2;5.8;25.7;88.2;.6;3.1;8.2
07/07/2023 00:00;30.2;27;25.8;0;24.7;86.9;1.4;5.7;.1
08/07/2023 00:00;31.9;28.4;26;5.2;24.8;80.8;2;6.7;1.7
09/07/2023 00:00;33.1;29.5;26.1;3.3;24.9;76.5;3.5;7.7;3
10/07/2023 00:00;33.4;29.5;26.7;4.4;24.8;75.7;3.5;7.7;6.5
11/07/2023 00:00;31.8;29.4;26.7;4;25.2;77.9;1.8;3.6;6.2
12/07/2023 00:00;32;29.7;27;2.9;25;75.7;.9;2.6;8.7
13/07/2023 00:00;32.8;29.6;27;6.5;24.4;73.5;.8;3.6;8.3
14/07/2023 00:00;32.5;29.7;27.4;4.4;24.9;75.3;1.7;5.7;5.5
15/07/2023 00:00;32.2;29.5;27;5.4;24.9;76.5;1.2;4.6;9.3
16/07/2023 00:00;32;29.6;27.2;5.8;24.3;73.4;1.8;4.6;6.3
17/07/2023 00:00;32;29.4;26.2;3.3;24.3;74;2.1;5.7;7.4
18/07/2023 00:00;33;29.4;25.2;2.1;23.1;69.2;2.6;5.1;9.1
19/07/2023 00:00;34.4;29.5;25.8;9.9;22.8;67.1;2;5.7;9.2
20/07/2023 00:00;32;29.1;26;4.6;22.6;68.2;.8;3.6;10.1
21/07/2023 00:00;31.6;29.2;27.1;6.4;23.8;72.6;1.1;4.1;6.6
22/07/2023 00:00;32;29.3;26.6;3.7;23.9;72.8;2.3;5.7;6.1
23/07/2023 00:00;32.6;29.4;26.6;5.4;24.3;74.3;3;7.2;8
24/07/2023 00:00;31.2;28.4;26.4;4;25.1;82.3;1.2;6.2;8
25/07/2023 00:00;31;28.7;25.8;4.6;24.6;78.7;1.1;4.6;5.7
26/07/2023 00:00;30.8;28.8;26.2;3;24.5;77.5;.3;2.6;1.3
27/07/2023 00:00;31.4;29.2;26.6;1.2;24.2;74.7;1.7;5.7;4.2
28/07/2023 00:00;33.8;29.4;26.4;2.8;22.9;68.1;3.4;5.7;2.7
29/07/2023 00:00;32.7;29;26.4;4.2;23.2;71;2.9;8.2;8.8
30/07/2023 00:00;33;28.8;25;6.5;22.8;69.9;2.6;5.7;8.6
31/07/2023 00:00;32.8;28.9;25.4;8.9;24.3;76.5;3;6.2;7.8
