rr,ws_avg,ws_max,wd_avg,tt_air_max,tt_air_avg,tt_air_min,rh_avg,pp_air,sr_avg,tt_sea,wl_pan,ev_pan
0,2.3,9,254.35,32.3,28.65,24.5,77.49,1008.66,360.78,29.43,29.43,0.11
0,1.99,10.4,252.17,32.2,28.38,25.3,76.44,1009.07,292.85,28.81,28.81,0.01
11,1.93,11.2,293.64,33.8,27.68,25,80.9,1009.03,271.32,28.32,28.32,0.06
17,1.67,9.8,254.55,31.6,26.55,24,84.76,1009.1,195.21,28.02,28.02,0.03
0,1.84,8.6,277.62,32.4,27.68,24.5,77.87,1009.21,219.08,28.87,28.87,0.15
33.4,1.51,10.2,203.18,31.2,28.32,24.2,79.59,1010.3,165.24,29.55,29.55,0.1
0.6,2.25,7.7,240.77,31.1,28.68,24.4,76.59,1010.88,328.52,19.29,19.29,0.1
0,1.9,7.1,267.62,32.1,27.97,24.8,78.12,1010,263.15,50.69,50.69,0.09
0,1.44,6.7,214.78,31.7,28.59,25.5,75.73,1008.84,133.34,29.03,29.03,0.08
0,2.02,9.2,268.7,32.5,28.19,24.8,76.92,1009.32,284.77,29.19,29.19,0.07
6.2,1.68,6.7,215,31.9,27.54,24,80.5,1009.77,240.94,29.92,29.92,0.07
27.4,2.03,7.5,196.11,31.9,27.53,24,78.73,1009.99,298.01,66.4,66.4,0.05
0,0.99,4.1,221.82,31.7,27.58,24.5,78.61,1010.45,89.71,18.46,18.46,0
49,1.58,8,182.86,31.4,27.46,24.5,81.89,1010.24,231.13,29.51,29.51,0.02
10.4,1.6,9.1,227.62,30.7,26.27,23.9,85.46,1011,162.97,27.69,27.69,0
0.8,1.49,7.2,242,31.8,27.96,24.5,79.14,1011.58,152.68,30.47,30.47,0.16
11.6,1.64,6.4,237.62,31.4,28.27,25.3,78.27,1011.41,200.63,30.72,30.72,0
1,1.34,5.7,219.55,31.2,27.99,25.5,79.5,1011.43,139.45,29.72,29.72,0.14
43.8,1.35,6.6,201.9,30.3,27.03,24.3,80.68,1011.02,142.12,28.6,28.6,0.06
0.8,1.47,6.5,260.48,30.1,27.31,25.1,80.57,1010.72,156.49,29.4,29.4,0.05
0,1.34,23.6,225.91,30.3,27.65,25.1,81.56,1009.99,132.52,29.9,29.9,0.1
0,1.79,6.3,218.18,31.3,27.64,24.5,79.44,1010.24,251.6,29.56,29.56,0.17
2.4,1.83,6.8,173.33,31.5,28.6,24.8,77.13,1009.44,257.26,30.51,30.51,0.06
0.4,1.87,6.9,166.67,31.5,28.68,25.4,74.87,1008.84,281.22,29.86,29.86,0
2.6,2.02,7.1,158.1,31.8,28.76,25.8,74.38,1008.76,357.76,29.78,29.78,0.02
0,1.76,6,191.36,32,28.36,25.2,77.29,1008.65,281.61,30.72,30.72,0.18
0,2.2,7.1,210.91,32.1,28.78,25.6,77.04,1009.07,400.59,30.26,30.26,0.08
0,2.1,6.4,206.36,31.8,28.46,25.3,78.12,1008.6,382.66,30.08,30.08,0.1
0,1.81,6.8,171.36,32.2,29.06,25.9,76.24,1008.05,318.03,31.22,31.22,0.05
26.2,1.53,6.1,225,32.6,28.15,25.1,81.73,1008.92,233.64,29.62,29.62,0.33
13.6,1.35,6.3,206.82,31.8,27.86,24.9,80.87,1009.42,143.35,29.09,29.09,0
45.8,1.55,8.7,216.09,32,27.45,24.6,81.93,1008.77,187.38,29.39,29.39,0.13
0,1.03,3.9,229.05,29,27.15,25.1,84.25,1009.15,75.84,27.6,27.6,0.07
4.2,1.76,5.9,204.76,31.7,27.87,24.8,80.26,1009.09,226.42,30.02,30.02,0.04
0,1.85,6,210,32,28.38,25.1,80.06,1008.55,250.4,30.19,30.19,0.09
8.6,1.69,6.9,256.96,32.3,28.05,25.2,80.88,1008.7,226.5,29.9,29.9,0.1
0,1.5,5.1,223.18,31.5,28.42,25.4,80.03,1007.8,161.7,30.27,30.27,0.17
8,1.76,7.9,220,32.8,28.69,25.8,79.32,1006.97,230.75,82.52,82.52,0.1
1.6,1.62,7.6,254.29,31.9,28.09,25.4,78.95,1007.97,169.17,28.9,28.9,
0,1.38,6.3,258.7,31.9,28.34,25.7,80.6,1008.22,127.14,29.03,29.03,0
0,1.16,4.9,214.09,31.6,28.72,26,79.99,1008.11,99.84,29.81,29.81,0.06
5,1.53,7.5,225.24,32.5,27.41,24.9,82.2,1008.69,179.64,29.23,29.23,0.11
