tanggal,temp_max,temp_avg,temp_min,ev_pan,dew point,rh,ws_avg,ws_max,sr,pp_air
2/28/2022,30.6,27.9,24.8,4.5,24.2,80.3,3.9,7.2,6.5,1008.9
3/1/2022,29,26.7,24.6,3.4,23.6,83.4,3.5,8.2,2.3,1009.6
3/2/2022,31.1,28,25.4,0.6,24,79,4.3,6.7,0.9,1008.6
3/3/2022,31.9,28.8,25,5.2,24.1,75.8,2.8,4.6,5.7,1009.1
3/4/2022,31,28.4,25.2,5,23.9,76.4,1.5,3.6,7.3,1008.6
3/5/2022,32.8,27.7,24.2,3.5,23.4,77.7,1.8,7.7,1.8,1009
3/6/2022,33.2,28.7,26.6,3.9,23.4,73,4.6,10.3,4.5,1009
3/7/2022,32.8,29.2,26.2,4.5,23.4,71.3,2.5,6.2,7.3,1008.2
3/8/2022,31.6,28.1,26.3,,24.7,82.1,1.7,4.1,,1007.8
3/9/2022,31,28.4,26.4,1.7,24.3,78.6,1.1,3.1,4.2,1008.3
3/10/2022,31.6,29.1,26.4,2,24.3,75.3,1,3.6,2.7,1007.1
3/11/2022,31,28.5,26.8,1.2,24.4,78.8,3.4,6.7,7,1006.5
3/12/2022,31.2,28.2,26.7,5.4,24.8,81.8,2.6,7.2,7.2,1006.5
3/13/2022,31.9,29.3,27,2.7,25.3,79.3,1.3,4.1,3.9,1007.5
3/14/2022,32.6,29,27.2,4.4,25.2,80,1.2,4.6,7.5,1007.2
3/15/2022,30.1,27.4,25.9,5.4,24.2,82.4,1.6,4.1,7.1,1007.9
3/16/2022,32,29.8,26,1.5,24.7,74.1,1.6,5.1,0.3,1007
3/17/2022,32.6,29.8,27.4,4.5,25.2,76.3,1.6,5.7,7,1007.1
3/18/2022,33,29.5,27.4,5.7,24.6,75,2.5,5.7,8.9,1007
3/19/2022,34.2,30,27.6,2.4,23.5,68.3,3.8,7.2,0.9,1007.1
3/20/2022,35.6,30.5,27.4,8.1,22.8,63.3,5.1,9.8,6.3,1008.1
3/21/2022,34.3,30,27.1,6.2,23,66.1,4.3,6.7,8.4,1009.5
3/22/2022,31.9,29.7,27.6,5.6,24.2,72.7,2.9,5.7,5.4,1009.1
3/23/2022,31.8,28.2,26.2,4.5,23.6,76.3,2.8,6.2,2.5,1009.2
3/24/2022,31.6,29.4,26.2,2.1,24.8,76.2,1.1,5.1,3.4,1009
3/25/2022,33.1,29.7,27.8,2.8,24.8,74.8,1.8,4.1,8,1009.8
3/26/2022,30.4,26.6,24.2,7.5,24,85.4,0.9,9.8,7,1010.7
3/27/2022,32.2,28.3,25.2,1.5,24.8,81,1.8,4.6,0.3,1010
3/28/2022,31.2,28.8,25.6,7.4,24.2,76.5,1.7,2.6,8.8,1009.6
3/29/2022,32.2,29.7,27.2,4.4,24.7,74.9,1.2,3.6,6.6,1008.9
3/30/2022,31.8,29.6,27.4,,24.3,73.3,0.7,3.6,,1009
3/31/2022,33,29.4,26.6,3.1,24.3,74.2,2.3,7.2,2.3,1009.5
4/1/2022,31,28.9,27,2.7,24.5,77.2,1.6,3.6,7.9,1010
4/2/2022,32.5,29.8,26.7,3.7,24,70.9,2.2,3.6,0,1009.9
4/3/2022,32,27.5,26,4.4,23.8,80.3,1.9,7.2,8.1,1010.2
4/4/2022,32,29.3,26.1,1.8,24,73.3,1.5,5.1,3.5,1010.5
4/5/2022,33,27.9,25.2,3.8,24.3,80.6,1.7,4.6,6.9,1010.8
4/6/2022,33.4,29,25.4,7,24.2,75.1,1.8,4.6,7.8,1010.2
4/7/2022,33.2,28.7,26.4,6.1,24.4,78,1.4,4.1,8.6,1009.9
4/8/2022,33.4,28.2,24.9,4.6,23.9,77.5,1.4,4.6,7.6,1009.8
