tanggal,tomang,sukapura,pulomas,manggarai,lebak bulus,kemayoran,kelapa gading,ciganjur,istana,manggarai2,sunter kodamar,sunter rawabadak,rorotan,bandara halim,pakubuwono,ragunan,pasar minggu,kapuk,kedoya selatan,pulo gadung,sunter hulu,setiabudi,waduk melati,cideng,karet,teluk gong
12/18/2021,0.2,0,0.4,0,26,0,0,4.6,5,11,0,0,0,2,62,42,16,0,41,0,331,31,28,0,26,1
12/19/2021,0,0,0.2,0,0,0,0,0,6,12,16,25,11.5,21.6,48,1,27.5,3,2.2,41,66,9,10,8,12,1
12/20/2021,,0,,,,,,,0,0,0,0,,1.2,0,35,0,1,0,0,0,0,0,0,0,0
12/21/2021,0,0,4.8,0,28.4,0.6,24.6,7.8,0,14,4,1,22,82.6,48.5,71,78,0,2.5,5,30,23,24,0,25,0
12/22/2021,2.4,0,5.2,2.4,31.6,30.6,13.8,,3,2,8,7,6.5,2.2,38,6,6,12,3.1,2,15,3,3,4,5,1
12/23/2021,0,0,0,0,0,0,0,,0,0,0,0,0,0.3,0,6,4,0,0,0,3,0,0,0,0,0
12/24/2021,26.2,0,95.2,32.8,30.2,159.6,34.4,11.4,46,34,13,6,2.5,7.1,55,12,14,9,62.2,12,4,36,45,74,47,8
12/25/2021,0,0,0.4,0.4,4.8,0,0.4,1.2,0,0,0,0,0,11.3,12,8.5,9,0,0,0,3,1,1,0,0,0
12/26/2021,9.4,0,10.2,4.4,15.8,47.2,9.8,,13,25,8,8,10,34.3,25,14,6,15,15.5,13,34,18,17,10,15,12
12/27/2021,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0
12/28/2021,0,0.2,2.8,0,0,0,1.2,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
12/29/2021,11.8,17.4,116,17.8,25.4,26,19.6,5.2,14,34,18,22,11.5,23,31,8.5,8,24,36.4,18,45,37,19,25,48,8
12/30/2021,0,0,0.8,0,0,2.4,0,0.8,0,0,0,0,0,0.1,0,0,,0,0,0,0,0,0,0,0,0
12/31/2021,0,0,5.8,4.4,0,2.4,2.6,0,0,4,0,0,,31,5,2,2,0,0,0,39,0,0,0,0,0
1/1/2022,0.2,0,0.6,0,0.2,0,0,0.2,0,0,0,0,0,0.3,0.5,1,,0,0.3,0,2,1,1,0,0,0
1/2/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
